,product_type,stay_dt,dow,booking_dt,days_prior,daily_gross_bookings,daily_gross_rev,daily_cxl_bookings,daily_cxl_rev,daily_net_bookings,daily_net_rev,cummulative_gross_bookings,cummulative_gross_rev,cummulative_cxl_bookings,cummulative_cxl_rev,OTB,OTB_rev,OTB_to_be_cxl,OTB_rev_to_be_cxl,OTB_to_survive,OTB_rev_to_survive,day_of_week,dp_range,price,OTB_cxl_rate,day_type,OP_FENC,CORP_BUS,MEM_OTHER,GOV_UNFENC,GROUP,predict_cxl_rate
1,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-31,1,0,0.0,0,0.0,0,0.0,32,4599.0,3,405.0,29,4194.0,0,0.0,29,4194.0,4,1_7,144.62068965517201,0.0,0,0,1,0,0,0,0.04756753166002407
2,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-30,2,7,1125.0,1,153.0,6,972.0,32,4599.0,3,405.0,29,4194.0,0,0.0,29,4194.0,4,1_7,144.62068965517201,0.0,0,0,1,0,0,0,0.05150740332346096
3,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-29,3,0,0.0,0,0.0,0,0.0,25,3474.0,2,252.0,23,3222.0,1,153.0,22,3069.0,4,1_7,140.086956521739,0.0434782608695652,0,0,1,0,0,0,0.0573924736799309
4,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-28,4,0,0.0,0,0.0,0,0.0,25,3474.0,2,252.0,23,3222.0,1,153.0,22,3069.0,4,1_7,140.086956521739,0.0434782608695652,0,0,1,0,0,0,0.06133234534336747
5,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-27,5,2,252.0,2,252.0,0,0.0,25,3474.0,2,252.0,23,3222.0,1,153.0,22,3069.0,4,1_7,140.086956521739,0.0434782608695652,0,0,1,0,0,0,0.06527221700680434
6,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-26,6,0,0.0,0,0.0,0,0.0,23,3222.0,0,0.0,23,3222.0,2,279.0,21,2943.0,4,1_7,140.086956521739,0.0869565217391304,0,0,1,0,0,0,0.06973539392691311
7,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-25,7,3,459.0,0,0.0,3,459.0,23,3222.0,0,0.0,23,3222.0,2,279.0,21,2943.0,4,1_7,140.086956521739,0.0869565217391304,0,0,1,0,0,0,0.07367526559035
8,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-24,8,0,0.0,0,0.0,0,0.0,20,2763.0,0,0.0,20,2763.0,2,279.0,18,2484.0,4,8_14,138.15,0.1,0,0,1,0,0,0,0.07844864165308481
9,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-23,9,1,153.0,0,0.0,1,153.0,20,2763.0,0,0.0,20,2763.0,2,279.0,18,2484.0,4,8_14,138.15,0.1,0,0,1,0,0,0,0.08238851331652147
10,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-22,10,0,0.0,0,0.0,0,0.0,19,2610.0,0,0.0,19,2610.0,2,279.0,17,2331.0,4,8_14,137.36842105263202,0.10526315789473699,0,0,1,0,0,0,0.08660962655265671
11,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-21,11,0,0.0,0,0.0,0,0.0,19,2610.0,0,0.0,19,2610.0,2,279.0,17,2331.0,4,8_14,137.36842105263202,0.10526315789473699,0,0,1,0,0,0,0.09054949821609337
12,BUSINESS TRAVEL AGENCIES,2012-02-01,4,2012-01-20,12,1,153.0,0,0.0,1,153.0,19,2610.0,0,0.0,19,2610.0,2,279.0,17,2331.0,4,8_14,137.36842105263202,0.10526315789473699,0,0,1,0,0,0,0.09448936987952981
