,product_type,stay_dt,dow,booking_dt,days_prior,daily_gross_bookings,daily_gross_rev,daily_cxl_bookings,daily_cxl_rev,daily_net_bookings,daily_net_rev,cummulative_gross_bookings,cummulative_gross_rev,cummulative_cxl_bookings,cummulative_cxl_rev,OTB,OTB_rev,OTB_to_be_cxl,OTB_rev_to_be_cxl,OTB_to_survive,OTB_rev_to_survive,day_of_week,dp_range,price,OTB_cxl_rate,day_type,OP_FENC,CORP_BUS,MEM_OTHER,GOV_UNFENC,GROUP,predict_cxl_rate
1,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-08,1,0,0.0,0,0.0,0,0.0,34,4283.1,5,629.1,29,3654.0,0,0.0,29,3654.0,2,1_7,126.0,0.0,0,0,1,0,0,0,0.04751092225650319
2,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-07,2,0,0.0,0,0.0,0,0.0,34,4283.1,5,629.1,29,3654.0,0,0.0,29,3654.0,2,1_7,126.0,0.0,0,0,1,0,0,0,0.05145079391994008
3,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-06,3,0,0.0,1,126.0,-1,-126.0,34,4283.1,5,629.1,29,3654.0,0,0.0,29,3654.0,2,1_7,126.0,0.0,0,0,1,0,0,0,0.055390665583376644
4,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-05,4,4,504.0,0,0.0,4,504.0,34,4283.1,4,503.1,30,3780.0,1,126.0,29,3654.0,2,1_7,126.0,0.0333333333333333,0,0,1,0,0,0,0.05933053724681307
5,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-04,5,0,0.0,0,0.0,0,0.0,30,3779.1,4,503.1,26,3276.0,1,126.0,25,3150.0,2,1_7,126.0,0.0384615384615385,0,0,1,0,0,0,0.06431701942359459
6,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-03,6,2,252.0,1,126.0,1,126.0,30,3779.1,4,503.1,26,3276.0,1,126.0,25,3150.0,2,1_7,126.0,0.0384615384615385,0,0,1,0,0,0,0.06825689108703126
7,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-02,7,2,252.0,0,0.0,2,252.0,28,3527.1,3,377.1,25,3150.0,1,126.0,24,3024.0,2,1_7,126.0,0.04,0,0,1,0,0,0,0.07272006800714036
8,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-04-01,8,0,0.0,0,0.0,0,0.0,26,3275.1,3,377.1,23,2898.0,1,126.0,22,2772.0,2,8_14,126.0,0.0434782608695652,0,0,1,0,0,0,0.07718324492724911
9,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-31,9,0,0.0,0,0.0,0,0.0,26,3275.1,3,377.1,23,2898.0,1,126.0,22,2772.0,2,8_14,126.0,0.0434782608695652,0,0,1,0,0,0,0.08112311659068568
10,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-30,10,6,756.0,0,0.0,6,756.0,26,3275.1,3,377.1,23,2898.0,1,126.0,22,2772.0,2,8_14,126.0,0.0434782608695652,0,0,1,0,0,0,0.08506298825412255
11,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-29,11,1,126.0,0,0.0,1,126.0,20,2519.1,3,377.1,17,2142.0,0,0.0,17,2142.0,2,8_14,126.0,0.0,0,0,1,0,0,0,0.09057277568757617
12,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-28,12,1,125.1,1,125.1,0,0.0,19,2393.1,3,377.1,16,2016.0,0,0.0,16,2016.0,2,8_14,126.0,0.0,0,0,1,0,0,0,0.09477429997934872
13,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-27,13,3,378.0,0,0.0,3,378.0,18,2268.0,2,252.0,16,2016.0,0,0.0,16,2016.0,2,8_14,126.0,0.0,0,0,1,0,0,0,0.09897582427112171
14,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-26,14,0,0.0,0,0.0,0,0.0,15,1890.0,2,252.0,13,1638.0,0,0.0,13,1638.0,2,8_14,126.0,0.0,0,0,1,0,0,0,0.1037006538195668
15,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-25,15,0,0.0,0,0.0,0,0.0,15,1890.0,2,252.0,13,1638.0,0,0.0,13,1638.0,2,15_21,126.0,0.0,0,0,1,0,0,0,0.10764052548300347
16,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-24,16,0,0.0,0,0.0,0,0.0,15,1890.0,2,252.0,13,1638.0,0,0.0,13,1638.0,2,15_21,126.0,0.0,0,0,1,0,0,0,0.11158039714644023
17,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-23,17,2,252.0,0,0.0,2,252.0,15,1890.0,2,252.0,13,1638.0,0,0.0,13,1638.0,2,15_21,126.0,0.0,0,0,1,0,0,0,0.11552026880987666
18,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-22,18,3,378.0,0,0.0,3,378.0,13,1638.0,2,252.0,11,1386.0,0,0.0,11,1386.0,2,15_21,126.0,0.0,0,0,1,0,0,0,0.119983445729986
19,BUSINESS TRAVEL AGENCIES,2012-04-09,2,2012-03-21,19,1,126.0,1,126.0,0,0.0,10,1260.0,2,252.0,8,1008.0,0,0.0,8,1008.0,2,15_21,126.0,0.0,0,0,1,0,0,0,0.12470827527843086
