"","product_type","stay_dt","dow","booking_dt","days_prior","daily_gross_bookings","daily_gross_rev","daily_cxl_bookings","daily_cxl_rev","daily_net_bookings","daily_net_rev","cummulative_gross_bookings","cummulative_gross_rev","cummulative_cxl_bookings","cummulative_cxl_rev","OTB","OTB_rev","OTB_to_be_cxl","OTB_rev_to_be_cxl","OTB_to_survive","OTB_rev_to_survive","day_of_week","dp_range","price","OTB_cxl_rate","day_type","OP_FENC","CORP_BUS","MEM_OTHER","GOV_UNFENC","GROUP"
"1","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-31,1,0,0,0,0,0,0,32,4599,3,405,29,4194,0,0,29,4194,"4","1_7",144.620689655172,0,0,0,1,0,0,0
"2","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-30,2,7,1125,1,153,6,972,32,4599,3,405,29,4194,0,0,29,4194,"4","1_7",144.620689655172,0,0,0,1,0,0,0
"3","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-29,3,0,0,0,0,0,0,25,3474,2,252,23,3222,1,153,22,3069,"4","1_7",140.086956521739,0.0434782608695652,0,0,1,0,0,0
"4","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-28,4,0,0,0,0,0,0,25,3474,2,252,23,3222,1,153,22,3069,"4","1_7",140.086956521739,0.0434782608695652,0,0,1,0,0,0
"5","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-27,5,2,252,2,252,0,0,25,3474,2,252,23,3222,1,153,22,3069,"4","1_7",140.086956521739,0.0434782608695652,0,0,1,0,0,0
"6","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-26,6,0,0,0,0,0,0,23,3222,0,0,23,3222,2,279,21,2943,"4","1_7",140.086956521739,0.0869565217391304,0,0,1,0,0,0
"7","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-25,7,3,459,0,0,3,459,23,3222,0,0,23,3222,2,279,21,2943,"4","1_7",140.086956521739,0.0869565217391304,0,0,1,0,0,0
"8","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-24,8,0,0,0,0,0,0,20,2763,0,0,20,2763,2,279,18,2484,"4","8_14",138.15,0.1,0,0,1,0,0,0
"9","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-23,9,1,153,0,0,1,153,20,2763,0,0,20,2763,2,279,18,2484,"4","8_14",138.15,0.1,0,0,1,0,0,0
"10","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-22,10,0,0,0,0,0,0,19,2610,0,0,19,2610,2,279,17,2331,"4","8_14",137.368421052632,0.105263157894737,0,0,1,0,0,0
"11","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-21,11,0,0,0,0,0,0,19,2610,0,0,19,2610,2,279,17,2331,"4","8_14",137.368421052632,0.105263157894737,0,0,1,0,0,0
"12","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-20,12,1,153,0,0,1,153,19,2610,0,0,19,2610,2,279,17,2331,"4","8_14",137.368421052632,0.105263157894737,0,0,1,0,0,0
"13","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-19,13,1,126,0,0,1,126,18,2457,0,0,18,2457,2,279,16,2178,"4","8_14",136.5,0.111111111111111,0,0,1,0,0,0
"14","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-18,14,0,0,0,0,0,0,17,2331,0,0,17,2331,1,153,16,2178,"4","8_14",137.117647058824,0.0588235294117647,0,0,1,0,0,0
"15","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-17,15,2,306,0,0,2,306,17,2331,0,0,17,2331,1,153,16,2178,"4","15_21",137.117647058824,0.0588235294117647,0,0,1,0,0,0
"16","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-16,16,1,153,0,0,1,153,15,2025,0,0,15,2025,1,153,14,1872,"4","15_21",135,0.0666666666666667,0,0,1,0,0,0
"17","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-15,17,0,0,0,0,0,0,14,1872,0,0,14,1872,1,153,13,1719,"4","15_21",133.714285714286,0.0714285714285714,0,0,1,0,0,0
"18","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-14,18,0,0,0,0,0,0,14,1872,0,0,14,1872,1,153,13,1719,"4","15_21",133.714285714286,0.0714285714285714,0,0,1,0,0,0
"19","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-13,19,10,1287,0,0,10,1287,14,1872,0,0,14,1872,1,153,13,1719,"4","15_21",133.714285714286,0.0714285714285714,0,0,1,0,0,0
"20","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-12,20,0,0,0,0,0,0,4,585,0,0,4,585,1,153,3,432,"4","15_21",146.25,0.25,0,0,1,0,0,0
"21","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-11,21,1,126,0,0,1,126,4,585,0,0,4,585,1,153,3,432,"4","15_21",146.25,0.25,0,0,1,0,0,0
"22","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-10,22,2,306,0,0,2,306,3,459,0,0,3,459,1,153,2,306,"4","22_28",153,0.333333333333333,0,0,1,0,0,0
"23","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-09,23,1,153,0,0,1,153,1,153,0,0,1,153,1,153,0,0,"4","22_28",153,1,0,0,1,0,0,0
"24","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-02-01,1,1,153,0,0,1,153,13,2250,0,0,13,2250,0,0,13,2250,"5","1_7",173.076923076923,0,0,0,1,0,0,0
"25","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-31,2,1,153,0,0,1,153,12,2097,0,0,12,2097,0,0,12,2097,"5","1_7",174.75,0,0,0,1,0,0,0
"26","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-30,3,0,0,0,0,0,0,11,1944,0,0,11,1944,0,0,11,1944,"5","1_7",176.727272727273,0,0,0,1,0,0,0
"27","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-29,4,0,0,0,0,0,0,11,1944,0,0,11,1944,0,0,11,1944,"5","1_7",176.727272727273,0,0,0,1,0,0,0
"28","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-28,5,0,0,0,0,0,0,11,1944,0,0,11,1944,0,0,11,1944,"5","1_7",176.727272727273,0,0,0,1,0,0,0
"29","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-27,6,0,0,0,0,0,0,11,1944,0,0,11,1944,0,0,11,1944,"5","1_7",176.727272727273,0,0,0,1,0,0,0
"30","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-26,7,6,1026,0,0,6,1026,11,1944,0,0,11,1944,0,0,11,1944,"5","1_7",176.727272727273,0,0,0,1,0,0,0
"31","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-25,8,2,306,0,0,2,306,5,918,0,0,5,918,0,0,5,918,"5","8_14",183.6,0,0,0,1,0,0,0
"32","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-24,9,2,486,0,0,2,486,3,612,0,0,3,612,0,0,3,612,"5","8_14",204,0,0,0,1,0,0,0
"33","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-23,10,0,0,0,0,0,0,1,126,0,0,1,126,0,0,1,126,"5","8_14",126,0,0,0,1,0,0,0
"34","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-22,11,0,0,0,0,0,0,1,126,0,0,1,126,0,0,1,126,"5","8_14",126,0,0,0,1,0,0,0
"35","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-21,12,0,0,0,0,0,0,1,126,0,0,1,126,0,0,1,126,"5","8_14",126,0,0,0,1,0,0,0
"36","BUSINESS TRAVEL AGENCIES",2012-02-02,5,2012-01-20,13,0,0,0,0,0,0,1,126,0,0,1,126,0,0,1,126,"5","8_14",126,0,0,0,1,0,0,0
