"","product_type","stay_dt","dow","booking_dt","days_prior","daily_gross_bookings","daily_gross_rev","daily_cxl_bookings","daily_cxl_rev","daily_net_bookings","daily_net_rev","cummulative_gross_bookings","cummulative_gross_rev","cummulative_cxl_bookings","cummulative_cxl_rev","OTB","OTB_rev","OTB_to_be_cxl","OTB_rev_to_be_cxl","OTB_to_survive","OTB_rev_to_survive","day_of_week","dp_range","price","OTB_cxl_rate","day_type","OP_FENC_OTH","CORP_GROUP_TACT","UNF_WHOLE_MEM_BUS","GOVERNMENT"
"1","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-31,1,4,996,1,279,3,717,142,36374,28,6952,114,29422,5,1545,109,27877,"4","1_7",258.087719298246,0.043859649122807,0,0,0,1,0
"2","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-30,2,6,1494,2,528,4,966,138,35378,27,6673,111,28705,5,1585,106,27120,"4","1_7",258.603603603604,0.045045045045045,0,0,0,1,0
"3","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-29,3,0,0,1,239,-1,-239,132,33884,25,6145,107,27739,7,2113,100,25626,"4","1_7",259.242990654206,0.0654205607476635,0,0,0,1,0
"4","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-28,4,3,717,1,239,2,478,132,33884,24,5906,108,27978,8,2352,100,25626,"4","1_7",259.055555555556,0.0740740740740741,0,0,0,1,0
"5","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-27,5,10,2470,2,498,8,1972,129,33167,23,5667,106,27500,8,2352,98,25148,"4","1_7",259.433962264151,0.0754716981132075,0,0,0,1,0
"6","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-26,6,5,1365,1,209,4,1156,119,30697,21,5169,98,25528,10,2850,88,22678,"4","1_7",260.489795918367,0.102040816326531,0,0,0,1,0
"7","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-25,7,3,807,4,966,-1,-159,114,29332,20,4960,94,24372,10,2810,84,21562,"4","1_7",259.276595744681,0.106382978723404,0,0,0,1,0
"8","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-24,8,5,1754,0,0,5,1754,111,28525,16,3994,95,24531,12,3248,83,21283,"4","8_14",258.221052631579,0.126315789473684,0,0,0,1,0
"9","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-23,9,10,2660,1,279,9,2381,106,26771,16,3994,90,22777,11,2969,79,19808,"4","8_14",253.077777777778,0.122222222222222,0,0,0,1,0
"10","BUSINESS TRAVEL AGENCIES",2012-02-01,4,2012-01-22,10,0,0,0,0,0,0,96,24111,15,3715,81,20396,11,2949,70,17447,"4","8_14",251.802469135802,0.135802469135802,0,0,0,1,0
